#TYPE Microsoft.Powershell.Utility.FileHash
"Algorithm","Hash","Path"
"SHA256","5A73C15EB97F0413B1D26FCC455D191646B1C901B3257FF6B1BCBACB0497E6CB","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3_x64-mul\Assets1_1.zip"
"SHA256","C524B87A28D629FB7B9566E06CBD10DC22FBFF3192C24C68F862D5B2331E120B","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3_x64-mul\Install.db"
"SHA256","DF3770466FB9283DE5FC25A6EC27EFB54B37D0BEC5EA32D018FAEDB0DDC59C8A","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3_x64-mul\Install.sig"
"SHA256","0F7F17F4E2C4E64D7DFB4DAC4E0A7F08657DBF4DF294FDA535F19FFC0C93A7AF","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3_x64-mul\media.sql"
"SHA256","FA4D9BDE74CAA21C77429ACCA45DFCF64AA818AC65D34D9A0F45FF1EF99C8821","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeAPE3.3_x64-mul\Media_db.db"
"SHA256","A64D5860987B34071545F2157875CE0793A021E8FA629F71DDE2F5317A787881","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul\AdobeBridge5-mul.boot.xml"
"SHA256","49A2E53F3CFB3AA153621AD8F4CE001DEB1034B01BD9CFA0BB997D4C47538659","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul\AdobeBridge5-mul.proxy.xml"
"SHA256","E7F977B32568DF798977AB24CED34DA8B4FA2E4FC8C4888AAC586CD68AAF9A33","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul\Assets1_1.sig"
"SHA256","2C8F077DFF679329AFD1C736269CBFC879C65FB2EF71B681365BA12A46D3CA92","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul\Assets1_1.zip"
"SHA256","86AF410770D3BEF18B6D0C5601D1D7FF9E8C6F22055299B8B324359C96D9BDEB","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul\Assets2_1.sig"
"SHA256","D9F9580573B59B03C9291F9B5CCABBDF25AEE16B67111D59E76527897B4FE818","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul\Assets2_1.zip"
"SHA256","67AB1376297169B2C91BAA1787B6B4CB9AEDC37969C3A86DA592603ACCCCBC00","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul\customaction.data"
"SHA256","E576D54F27A4CCB22FEE000B31C97CAB29DE28F1D555C4B1D2CB48E8A177BC7F","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul\Install.db"
"SHA256","CF7F23A455A233F65CB61D5B2635FCFC7FD7A638DAA8672972CD40C5B76D1BCF","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul\Install.sig"
"SHA256","4AE5A95183C06E19C8D38FD1C552CE9BC2F6335F70BFB1B5105435108E294024","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul\media.sql"
"SHA256","0EA4134988B9716B66F2936EC1568D89E0F43BE5B105649188E7F56A93FC4BED","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul\Media_db.db"
"SHA256","524123FCD4E2BA4B1011B1DA74CDF8EBB0D03D965F1B15E83DEDBF197499244A","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul-x64\AdobeBridge5-mul-x64.boot.xml"
"SHA256","E3A17CE9AF28F8050C8BFD699E0BFA609D58D363851E5EB1BC2BCB820232C1D7","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul-x64\AdobeBridge5-mul-x64.proxy.xml"
"SHA256","EBBBEEA45D89D9E5F123656ACD5CAA67D1E16B1CFD9B9346BBAEDEAA3037A27E","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul-x64\Assets1_1.sig"
"SHA256","E72E05609D6A37BB5DFA710FE87F8DA0A74347034DD61C9640D799090AE42E25","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul-x64\Assets1_1.zip"
"SHA256","079F710BAADFE076C4E3B9FA2476B826B03E730E3576D7225B46985A2E03A584","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul-x64\Assets2_1.sig"
"SHA256","60952675FD70B4E46F2E0B1305107609AB22697650928CFED2715B570AE2DF8E","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul-x64\Assets2_1.zip"
"SHA256","FBD5092E21670ECB345D5894857389245612FA2CAE87A58FAB0A7DB3CB5199BF","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul-x64\customaction.data"
"SHA256","00FB08A4755B90F3F5FA697C2977448EDD2ED19B852EE5914B82EB054F131443","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul-x64\Install.db"
"SHA256","0A4A91ACA2B63346D81C3964DAFAAD5201AF551B6642FC562682BCCC5BA611F1","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul-x64\Install.sig"
"SHA256","0269F303A9BA89F0ABDD23A530BB2B87ADB1980BD0B7BECCD8B81E540EA4DF5A","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul-x64\media.sql"
"SHA256","5C4093386919C60D50D8E25718568793A6E95017F94151A3F0309DE0E7309F1F","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeBridge5-mul-x64\Media_db.db"
"SHA256","66D0ACB5E3200A6E0E8B62B61DCB43A3FAC86C0BF9C1C4A182BFB36063AF0B19","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All\AdobeCameraRaw7.0All.boot.xml"
"SHA256","A64B51079FFAA101FB2CD0A8A7E54C6DBAB59AE2AE3011E9FAA7E89E8B19C147","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All\AdobeCameraRaw7.0All.proxy.xml"
"SHA256","2D70828609886B50A0FB52B1411662CC757E0EB1A15553E0AEBC2A87179D9674","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All\Assets1_1.sig"
"SHA256","9D9106AAF03064569A3EC7113E75AFC308098ED4BDF62D6792581D32F32A1804","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All\Assets1_1.zip"
"SHA256","A5892F90B4508DF6B387C0FF6D6F9353B8A6DA3F6DF5AE5815478C4704FD1A83","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All\Install.db"
"SHA256","0A9BA70873021DAFA82ED5BA7B52FF721B73D1329B2E288547C4D9E74D1F5BAB","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All\Install.sig"
"SHA256","237B80A812DDF384F073048B915794E6C4DE73335F59070A9A9EF41D4C938F88","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All\media.sql"
"SHA256","7FDC4024B21C09ECE467C2E72263BB9E6D774B963237CC282B7077D4BD62B6C3","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All\Media_db.db"
